code departement,CCMUC,DECUC_Q2,BREV,PACT,PPAT,PPEN,TP60
95,1410,18284,31,84.7,5.6,18.4,22.4
92,12257,18736,31,87.6,6,16.7,21.2
87,17648,18563,31,64.5,9.7,34.4,22.1
62,453,17720,31.1,69.9,5.5,31.4,20.2
79,1107,16750,31.1,54.3,10.5,41.7,21.5
84,1823,17226,31.1,69.2,9.7,26.8,21.4
47,2528,17090,31.1,55.4,11.5,40,21.2
59,361,16844,31.2,72.1,5.6,25.2,20.2
14,729,16998,31.2,71.2,4.7,26.6,19
88,932,17448,31.2,60.3,12.1,36.4,21.2
55,2183,17834,31.2,62.3,10.4,33.6,21.6
92,3603,17832,31.2,82.3,5.6,21,20.4
2A,512,17490,31.3,72.3,16.4,24.3,23.7
72,1381,16966,31.3,61.2,9.7,34.4,20.5
47,1586,17208,31.3,58.8,10.6,37.5,21.6
03,3068,17690,31.3,48,14.6,45.5,21
57,1166,17190,31.4,60,7.8,37.1,21.9
76,2049,16980,31.4,59,8.9,36.8,19.7
13,2697,17094,31.4,69.7,6.3,28.5,20.7
57,1083,16885,31.6,45.1,29.3,27.2,21
54,1961,17070,31.6,67.8,8.5,29.5,20.5
24,2736,17308,31.6,53.8,11.8,41,21.1
59,4585,16798,31.6,70.9,5.3,26,19.9
76,26905,17766,31.6,67.8,6.9,30.9,20.8
57,1410,17588,31.7,64.9,10.2,32.8,21.3
37,1959,16856,31.7,65.2,5.9,33.1,21.5
57,16874,18510,31.7,66.7,15.9,26,22.4
57,799,16382,31.8,55.8,6.4,41.1,21.3
01,332,23646,31.9,80.8,10.6,22.8,23.8
11,1076,17261,31.9,54.6,10.8,40,21.6
45,483,17620,32,62,9.6,35.8,22
30,1025,17225,32,65.5,8.3,31.5,22.2
91,2282,17230,32,81.1,4.5,21.6,20.2
25,1087,17121,32.1,64.9,6.2,34.8,20.5
62,1772,16748,32.1,70.8,5.8,27.6,21.6
71,2293,16466,32.1,54.2,7,42.1,20.8
26,8533,17772,32.1,65.9,11.7,30.9,21.6
07,1025,16972,32.2,62.1,9.7,32.7,22.6
08,914,17200,32.3,65.7,8.6,31.6,22.6
45,2265,17689,32.3,69.5,6.4,30.5,21.4
84,2896,17288,32.3,65,10.4,31.4,22.8
77,3156,17994,32.3,75.6,5.7,25.1,21
18,3737,16882,32.3,55.7,8.1,40.3,23.5
81,598,16439,32.4,47.6,10.9,46.6,22.9
28,1868,17246,32.4,57.5,10,38.9,23.1
13,6057,17220,32.4,65.8,11.5,30.2,23.1
95,11464,17654,32.4,87.9,4.6,15.2,21.4
51,24410,17826,32.4,73.2,8.9,26.6,22.8
62,1252,16176,32.5,66.2,5.1,31.7,20.6
43,2358,17178,32.5,59.6,12.3,34.3,20.7
59,2675,16946,32.5,74.6,5.1,24.3,21.7
03,4620,17096,32.5,56,11.3,38.6,22.3
86,12339,18058,32.5,69.9,9.3,28.9,23
54,505,16670,32.6,35.4,41.8,23.8,23.7
60,741,17482,32.6,73.2,5.2,26.8,20.8
27,1988,17410,32.6,68.5,6.9,29.8,21.2
57,2917,17518,32.6,67.6,10.8,29,22.1
